Updated,Type,Module,Source,F/P,Data
2026-06-24 07:38:19,AFFILIATE_DOMAIN_WHOIS,sfp_whois,awsdns-06.co.uk,0,"
    Domain name:
        awsdns-06.co.uk

    Data validation:
        Nominet was able to match the registrant's name and address against a 3rd party data source on 10-Dec-2012

    Registrar:
        Markmonitor Inc. [Tag = MARKMONITOR]
        URL: https://www.markmonitor.com

    Relevant dates:
        Registered on: 21-Oct-2010
        Expiry date:  21-Oct-2026
        Last updated:  31-Jul-2025

    Registration status:
        Registered until expiry date.

    Name servers:
        g-ns-1481.awsdns-06.co.uk  205.251.197.201  2600:9000:5305:c900::1
        g-ns-1802.awsdns-06.co.uk  205.251.199.10  2600:9000:5307:a00::1
        g-ns-326.awsdns-06.co.uk  205.251.193.70  2600:9000:5301:4600::1
        g-ns-902.awsdns-06.co.uk  205.251.195.134  2600:9000:5303:8600::1

    WHOIS lookup made at 08:38:18 24-Jun-2026

-- 
This WHOIS information is provided for free by Nominet UK the central registry
for .uk domain names. This information and the .uk WHOIS are:

    Copyright N"
2026-06-24 07:38:26,AFFILIATE_DOMAIN_WHOIS,sfp_whois,awsdns-16.co.uk,0,"
    Domain name:
        awsdns-16.co.uk

    Data validation:
        Nominet was able to match the registrant's name and address against a 3rd party data source on 10-Dec-2012

    Registrar:
        Markmonitor Inc. [Tag = MARKMONITOR]
        URL: https://www.markmonitor.com

    Relevant dates:
        Registered on: 21-Oct-2010
        Expiry date:  21-Oct-2026
        Last updated:  31-Jul-2025

    Registration status:
        Registered until expiry date.

    Name servers:
        g-ns-1491.awsdns-16.co.uk  205.251.197.211  2600:9000:5305:d300::1
        g-ns-1812.awsdns-16.co.uk  205.251.199.20  2600:9000:5307:1400::1
        g-ns-336.awsdns-16.co.uk  205.251.193.80  2600:9000:5301:5000::1
        g-ns-912.awsdns-16.co.uk  205.251.195.144  2600:9000:5303:9000::1

    WHOIS lookup made at 08:38:26 24-Jun-2026

-- 
This WHOIS information is provided for free by Nominet UK the central registry
for .uk domain names. This information and the .uk WHOIS are:

    Copyright "
2026-06-24 07:38:26,AFFILIATE_DOMAIN_WHOIS,sfp_whois,1e100.net,0,"   Domain Name: 1E100.NET
   Registry Domain ID: 1570253561_DOMAIN_NET-VRSN
   Registrar WHOIS Server: whois.markmonitor.com
   Registrar URL: http://www.markmonitor.com
   Updated Date: 2025-08-24T10:14:44Z
   Creation Date: 2009-09-25T05:40:03Z
   Registry Expiry Date: 2026-09-25T05:40:03Z
   Registrar: MarkMonitor Inc.
   Registrar IANA ID: 292
   Registrar Abuse Contact Email: abusecomplaints@markmonitor.com
   Registrar Abuse Contact Phone: +1.2086851750
   Domain Status: clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited
   Domain Status: clientTransferProhibited https://icann.org/epp#clientTransferProhibited
   Domain Status: clientUpdateProhibited https://icann.org/epp#clientUpdateProhibited
   Domain Status: serverDeleteProhibited https://icann.org/epp#serverDeleteProhibited
   Domain Status: serverTransferProhibited https://icann.org/epp#serverTransferProhibited
   Domain Status: serverUpdateProhibited https://icann.org/epp#serverUpdateProhibited
   Name Server: NS1"
2026-06-24 07:38:30,AFFILIATE_DOMAIN_WHOIS,sfp_whois,amazon.com,0,"   Domain Name: AMAZON.COM
   Registry Domain ID: 281209_DOMAIN_COM-VRSN
   Registrar WHOIS Server: whois.markmonitor.com
   Registrar URL: http://www.markmonitor.com
   Updated Date: 2026-04-22T20:57:33Z
   Creation Date: 1994-11-01T05:00:00Z
   Registry Expiry Date: 2026-10-31T04:00:00Z
   Registrar: MarkMonitor Inc.
   Registrar IANA ID: 292
   Registrar Abuse Contact Email: abusecomplaints@markmonitor.com
   Registrar Abuse Contact Phone: +1.2086851750
   Domain Status: clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited
   Domain Status: clientTransferProhibited https://icann.org/epp#clientTransferProhibited
   Domain Status: clientUpdateProhibited https://icann.org/epp#clientUpdateProhibited
   Domain Status: serverDeleteProhibited https://icann.org/epp#serverDeleteProhibited
   Domain Status: serverTransferProhibited https://icann.org/epp#serverTransferProhibited
   Domain Status: serverUpdateProhibited https://icann.org/epp#serverUpdateProhibited
   Name Server: NS-144"
2026-06-24 07:38:18,DOMAIN_WHOIS,sfp_whois,amazonaws.com,0,"   Domain Name: AMAZONAWS.COM
   Registry Domain ID: 197784869_DOMAIN_COM-VRSN
   Registrar WHOIS Server: whois.markmonitor.com
   Registrar URL: http://www.markmonitor.com
   Updated Date: 2024-01-29T18:09:26Z
   Creation Date: 2005-08-18T02:10:45Z
   Registry Expiry Date: 2027-01-16T04:59:59Z
   Registrar: MarkMonitor Inc.
   Registrar IANA ID: 292
   Registrar Abuse Contact Email: abusecomplaints@markmonitor.com
   Registrar Abuse Contact Phone: +1.2086851750
   Domain Status: clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited
   Domain Status: clientTransferProhibited https://icann.org/epp#clientTransferProhibited
   Domain Status: clientUpdateProhibited https://icann.org/epp#clientUpdateProhibited
   Domain Status: serverDeleteProhibited https://icann.org/epp#serverDeleteProhibited
   Domain Status: serverTransferProhibited https://icann.org/epp#serverTransferProhibited
   Domain Status: serverUpdateProhibited https://icann.org/epp#serverUpdateProhibited
   Name Server: "
2026-06-24 07:38:32,AFFILIATE_DOMAIN_WHOIS,sfp_whois,awsdns-03.com,0,"   Domain Name: AWSDNS-03.COM
   Registry Domain ID: 1621572989_DOMAIN_COM-VRSN
   Registrar WHOIS Server: whois.markmonitor.com
   Registrar URL: http://www.markmonitor.com
   Updated Date: 2026-04-20T17:50:11Z
   Creation Date: 2010-10-21T21:02:44Z
   Registry Expiry Date: 2026-10-21T21:02:44Z
   Registrar: MarkMonitor Inc.
   Registrar IANA ID: 292
   Registrar Abuse Contact Email: abusecomplaints@markmonitor.com
   Registrar Abuse Contact Phone: +1.2086851750
   Domain Status: clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited
   Domain Status: clientTransferProhibited https://icann.org/epp#clientTransferProhibited
   Domain Status: clientUpdateProhibited https://icann.org/epp#clientUpdateProhibited
   Domain Status: serverDeleteProhibited https://icann.org/epp#serverDeleteProhibited
   Domain Status: serverTransferProhibited https://icann.org/epp#serverTransferProhibited
   Domain Status: serverUpdateProhibited https://icann.org/epp#serverUpdateProhibited
   Name Server:"
2026-06-24 07:38:23,AFFILIATE_DOMAIN_WHOIS,sfp_whois,awsdns-05.net,0,"   Domain Name: AWSDNS-05.NET
   Registry Domain ID: 1621572975_DOMAIN_NET-VRSN
   Registrar WHOIS Server: whois.markmonitor.com
   Registrar URL: http://www.markmonitor.com
   Updated Date: 2026-04-27T17:50:05Z
   Creation Date: 2010-10-21T21:02:42Z
   Registry Expiry Date: 2026-10-21T21:02:42Z
   Registrar: MarkMonitor Inc.
   Registrar IANA ID: 292
   Registrar Abuse Contact Email: abusecomplaints@markmonitor.com
   Registrar Abuse Contact Phone: +1.2086851750
   Domain Status: clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited
   Domain Status: clientTransferProhibited https://icann.org/epp#clientTransferProhibited
   Domain Status: clientUpdateProhibited https://icann.org/epp#clientUpdateProhibited
   Domain Status: serverDeleteProhibited https://icann.org/epp#serverDeleteProhibited
   Domain Status: serverTransferProhibited https://icann.org/epp#serverTransferProhibited
   Domain Status: serverUpdateProhibited https://icann.org/epp#serverUpdateProhibited
   Name Server:"
2026-06-24 07:38:22,AFFILIATE_DOMAIN_WHOIS,sfp_whois,awsdns-17.com,0,"   Domain Name: AWSDNS-17.COM
   Registry Domain ID: 1621572912_DOMAIN_COM-VRSN
   Registrar WHOIS Server: whois.markmonitor.com
   Registrar URL: http://www.markmonitor.com
   Updated Date: 2026-04-21T17:50:18Z
   Creation Date: 2010-10-21T21:02:35Z
   Registry Expiry Date: 2026-10-21T21:02:35Z
   Registrar: MarkMonitor Inc.
   Registrar IANA ID: 292
   Registrar Abuse Contact Email: abusecomplaints@markmonitor.com
   Registrar Abuse Contact Phone: +1.2086851750
   Domain Status: clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited
   Domain Status: clientTransferProhibited https://icann.org/epp#clientTransferProhibited
   Domain Status: clientUpdateProhibited https://icann.org/epp#clientUpdateProhibited
   Domain Status: serverDeleteProhibited https://icann.org/epp#serverDeleteProhibited
   Domain Status: serverTransferProhibited https://icann.org/epp#serverTransferProhibited
   Domain Status: serverUpdateProhibited https://icann.org/epp#serverUpdateProhibited
   Name Server:"
2026-06-24 07:38:28,AFFILIATE_DOMAIN_WHOIS,sfp_whois,awsdns-56.net,0,"   Domain Name: AWSDNS-56.NET
   Registry Domain ID: 1621573084_DOMAIN_NET-VRSN
   Registrar WHOIS Server: whois.markmonitor.com
   Registrar URL: http://www.markmonitor.com
   Updated Date: 2026-04-30T17:50:10Z
   Creation Date: 2010-10-21T21:02:57Z
   Registry Expiry Date: 2026-10-21T21:02:57Z
   Registrar: MarkMonitor Inc.
   Registrar IANA ID: 292
   Registrar Abuse Contact Email: abusecomplaints@markmonitor.com
   Registrar Abuse Contact Phone: +1.2086851750
   Domain Status: clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited
   Domain Status: clientTransferProhibited https://icann.org/epp#clientTransferProhibited
   Domain Status: clientUpdateProhibited https://icann.org/epp#clientUpdateProhibited
   Domain Status: serverDeleteProhibited https://icann.org/epp#serverDeleteProhibited
   Domain Status: serverTransferProhibited https://icann.org/epp#serverTransferProhibited
   Domain Status: serverUpdateProhibited https://icann.org/epp#serverUpdateProhibited
   Name Server:"
2026-06-24 07:38:20,AFFILIATE_DOMAIN_WHOIS,sfp_whois,google.com,0,"   Domain Name: GOOGLE.COM
   Registry Domain ID: 2138514_DOMAIN_COM-VRSN
   Registrar WHOIS Server: whois.markmonitor.com
   Registrar URL: http://www.markmonitor.com
   Updated Date: 2019-09-09T15:39:04Z
   Creation Date: 1997-09-15T04:00:00Z
   Registry Expiry Date: 2028-09-14T04:00:00Z
   Registrar: MarkMonitor Inc.
   Registrar IANA ID: 292
   Registrar Abuse Contact Email: abusecomplaints@markmonitor.com
   Registrar Abuse Contact Phone: +1.2086851750
   Domain Status: clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited
   Domain Status: clientTransferProhibited https://icann.org/epp#clientTransferProhibited
   Domain Status: clientUpdateProhibited https://icann.org/epp#clientUpdateProhibited
   Domain Status: serverDeleteProhibited https://icann.org/epp#serverDeleteProhibited
   Domain Status: serverTransferProhibited https://icann.org/epp#serverTransferProhibited
   Domain Status: serverUpdateProhibited https://icann.org/epp#serverUpdateProhibited
   Name Server: NS1.G"
